,Latitud,Longitud,Direccion,N CAMARA,Domos,Fijas,LPR,Cant. Cam. LPR,Total Camaras,Ciudad,Barrios,Pais,Provincia,Tipo de Arteria,Corredor,C. ESCOLARES,C. SEGUIMIENTO
,"-57,59452","-38,11891","RP11 y Calle 491, Mar del Plata, Provincia de Buenos Aires, Argentina",206,1,2,,0,3,Mar del Plata,Los Acantilados,Argentina,Buenos Aires,Ruta,,,
,"-57,6062347","-37,997846","Fernandez 400, Mar del Plata, Provincia de Buenos Aires, Argentina",1,1,0,,0,1,Mar del Plata,Las Americas,Argentina,Buenos Aires,Calle,,CORREDOR 5,
,"-57,5692219","-38,02573","12 de Octubre y Talcahuano,  Mar del Plata, Provincia de Buenos Aires, Argentina",2,1,1,,0,2,Mar del Plata,Las Avenidas,Argentina,Buenos Aires,Calle,,,
,"-57,5610421","-37,988798","San Juan y 9 de Julio,  Mar del Plata, Provincia de Buenos Aires, Argentina",3,1,0,,0,1,Mar del Plata,Nueva Pompeya,Argentina,Buenos Aires,Calle,,,
,"-37,98666","-57,59202","Alberti y Bordabehere,  Mar del Plata, Provincia de Buenos Aires, Argentina",4,1,0,,0,1,Mar del Plata,Las Lilas,Argentina,Buenos Aires,Calle,,CORREDOR 15,
,"-57,5370839","-38,029104","Leandro N. Alem y Formosa,  Mar del Plata, Provincia de Buenos Aires, Argentina",6,1,0,,0,1,Mar del Plata,Playa Grande,Argentina,Buenos Aires,Calle,2,,
,"-57,5714747","-38,001732","San Juan y Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina",8,1,0,,0,1,Mar del Plata,San Juan,Argentina,Buenos Aires,Calle,,CORREDOR 13,
,"-57,5533191","-38,010838","Alvarado y Santa Fe, Mar del Plata, Provincia de Buenos Aires, Argentina",9,1,0,,0,1,Mar del Plata,Plaza Mitre,Argentina,Buenos Aires,Calle,,,
,"-57,5955129","-37,98953","Alvarado y Tres Arroyos, Mar del Plata, Provincia de Buenos Aires, Argentina",10,1,0,,0,1,Mar del Plata,Las Lilas,Argentina,Buenos Aires,Calle,,CORREDOR 25,
,"-57,5573939","-37,992958","Avenida Pedro Luro y 14 de Julio, Mar del Plata, Provincia de Buenos Aires, Argentina",11,1,0,,0,1,Mar del Plata,Don Bosco,Argentina,Buenos Aires,Avenida,,,
,"-57,5878912","-37,966106","Avenida Doctor Arturo Alio e Ituzaingo, Mar del Plata, Provincia de Buenos Aires, Argentina",13,1,0,,0,1,Mar del Plata,Nueve de Julio,Argentina,Buenos Aires,Avenida,,,
,"-57,5853132","-37,962936","Avenida Doctor Arturo Alio y Berutti, Mar del Plata, Provincia de Buenos Aires, Argentina",14,1,0,,0,1,Mar del Plata,Malvinas Argentinas,Argentina,Buenos Aires,Avenida,,,
,"-57,5853132","-37,962936","Avenida Doctor Arturo Alio y Berutti, Mar del Plata, Provincia de Buenos Aires, Argentina",14,0,0,LPR 1 (OESTE),1,1,Mar del Plata,Malvinas Argentinas,Argentina,Buenos Aires,Avenida,,,729D-732D-686D-599D-310D
,"-57,5853132","-37,962936","Avenida Doctor Arturo Alio y Berutti, Mar del Plata, Provincia de Buenos Aires, Argentina",14,0,0,LPR 2 (SUR),1,1,Mar del Plata,Malvinas Argentinas,Argentina,Buenos Aires,Avenida,,,14D-13D-327D-327F1-527D-54D
,"-57,6035806","-37,985445","Avenida Doctor ArturoAlio y Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina",16,1,0,,0,1,Mar del Plata,Belisario Roldan,Argentina,Buenos Aires,Avenida,,,
,"-57,6220938","-38,002644","Avenida Carlos Gardel y Soler, Mar del Plata, Provincia de Buenos Aires, Argentina",17,1,0,,0,1,Mar del Plata,Don Emilio,Argentina,Buenos Aires,Avenida,,,
,"-57,5663126","-37,995328","Avenida Colon y San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina",21,1,0,,0,1,Mar del Plata,Don Bosco,Argentina,Buenos Aires,Avenida,,,
,"-57,5984115","-37,979096","Avenida Colon y  Avenida Doctor Arturo Alio, Mar del Plata, Provincia de Buenos Aires, Argentina",22,0,0,LPR 1 (OESTE),1,1,Mar del Plata,Coronel Dorrego,Argentina,Buenos Aires,Avenida,,CORREDOR-A,22D-413D-413F1-024D-741D-414F1-335F1
