Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
1,571,,603,Mar del Plata,-57.631527,-37.9940842,"Calle 238 y Tripulante Fournier, Mar del Plata, Provincia de Buenos Aires, Argentina"
2,571,,229,Mar del Plata,-57.6307827,-37.9947965,"Tripulantes del Fournier & Calle 236, Mar del Plata, Provincia de Buenos Aires, Argentina"
3,571,,319,Mar del Plata,-57.6255826,-38.0000058,"Soler 11094, Mar del Plata, Provincia de Buenos Aires, Argentina"
4,571,,17,Mar del Plata,-57.6220938,-38.0026437,"Avenida Carlos Gardel & Soler, Mar del Plata, Provincia de Buenos Aires, Argentina"
5,571,,227,Mar del Plata,-57.6204576,-38.00129,"Avenida Carlos Gardel & Rosales, Mar del Plata, Provincia de Buenos Aires, Argentina"
6,571,,47,Mar del Plata,-57.6028352,-37.9950965,"Avenida Juan B. Justo & Fernández J. N. , Mar del Plata, Provincia de Buenos Aires, Argentina"
7,571,,122,Mar del Plata,-57.5979268,-37.9993052,"Avenida Centenario, Mar del Plata, Provincia de Buenos Aires, Argentina"
8,571,,150,Mar del Plata,-57.5875485,-37.9935647,"Teodoro Bronzini & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
9,571,,84,Mar del Plata,-57.583558,-37.9955858,"Chile & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
10,571,,562,Mar del Plata,-57.5795038,-37.997633,"Avenida Juan Héctor Jara & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
11,571,,8,Mar del Plata,-57.5714747,-38.0017324,"San Juan & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
12,571,,420,Mar del Plata,-57.5684679,-38.0032254,"Tomás Guido & Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina"
13,571,,481,Mar del Plata,-57.5649334,-38.0005727,"Alberti & Dorrego, Mar del Plata, Provincia de Buenos Aires, Argentina"
14,571,,700,Mar del Plata,-57.5562156,-38.0003923,"Avenida Colon y Avenida Independencia, Mar del Plata, Provincia de Buenos Aires, Argentina"
15,571,,581,Mar del Plata,-57.5542638,-37.9979617,"Avenida Independencia & Belgrano, Mar del Plata, Provincia de Buenos Aires, Argentina"
16,571,,596,Mar del Plata,-57.5522649,-37.9955452,"Avenida Independencia & Avenida Pedro Luro, Mar del Plata, Provincia de Buenos Aires, Argentina"
17,571,,56,Mar del Plata,-57.5512087,-37.9960776,"Avenida Pedro Luro & Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina"
18,571,,57,Mar del Plata,-57.5491867,-37.9970932,"Avenida Pedro Luro & Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
19,571,,85,Mar del Plata,-57.5470348,-37.9978925,"Diagonal Alberdi Sur & San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina"
20,571,,436,Mar del Plata,-57.5462189,-37.9986082,"Avenida Pedro Luro & Córdoba, Mar del Plata, Provincia de Buenos Aires, Argentina"
21,571,,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
22,571,,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
23,571,,419,Mar del Plata,-57.551756,-38.0072118,"Alberti & Santiago del Estero, Mar del Plata, Provincia de Buenos Aires, Argentina"
24,571,,571,Mar del Plata,-57.5477932,-38.0092309,"Alberti & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
25,571,,570,Mar del Plata,-57.5457799,-38.0102407,"Alberti & Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina"
26,571,,456,Mar del Plata,-57.5427843,-38.0117488,"Alberti & Sarmiento, Mar del Plata, Provincia de Buenos Aires, Argentina"
