,,,
WKT,nombre,descripción,
POINT (-57.5533386 -38.01662940000001)NOMBRE,Primera Junta 2074,PC 9 - HIKVISION,
POINT (-57.530377 -38.0260293),La Normandina Salón de Eventos,PC 9 - HIKVISION,
POINT (-57.53255830000001 -38.0286333),Bruto Playa Grande,PC 2 DAHUA ,
POINT (-57.59746099999999 -38.0408743),Avenida Jacinto Peralta Ramos & Avenida Mario Bravo fundación PUPY,,
POINT (-57.57516 -38.015867),COM,,
POINT (-57.59381070000001 -37.9941462),Av. M. Champagnat 3345,PC 1 DAHUA,
POINT (-57.54914050000001 -38.0082528),Alberti 2251,pc 1	DAHUA,
POINT (-57.58455120000001 -38.0316972),Florencio Sánchez 1754,PC 2 - SMART PSS,
POINT (-57.5903572 -37.96962570000001),Av. Libertad 7598,PC 1 DAHUA,
POINT (-57.5857758 -38.0312389),Av. Jacinto Peralta Ramos 1766,PC 2 - SMART PSS,
POINT (-57.5646668 -38.0102592),Av. Independencia 3445,PC 1 DAHUA,
POINT (-57.55788200000001 -37.9997472),Av. Colón 3350,PC 1 - DAHUA,
POINT (-57.5899973 -37.9810595),Moreno 6698,PC 9 - HIKVISION,
POINT (-57.5575494 -38.0003167),Salta 2248,PC 9 - HIKVISION,
POINT (-57.5577361 -38.0233141),Vieytes 2000,PC 1 - EZVIZ,
POINT (-57.5474655 -37.98577029999999),Jujuy 523,PC 2 DAHUA,
POINT (-57.77450089999999 -37.94061369999999),Arco de Sierra de los Padres,PC 9 - HIKVISION,
POINT (-57.5543249 -37.9628503),Aragon 5200,PC 1 - IVMS4200,
POINT (-57.54594900000001 -38.0417293),El Cano 3355,PC 2 DAHUA,
POINT (-57.5644678 -38.0206773),Larrea 2649,PC 2 - IVMS 4200,
POINT (-57.5878178 -38.0414605),Gutemberg 5875,PC 7 - EZVIZ,
POINT (-57.5411787 -38.028249),Almafuerte 534,PC 2 - IVMS 4200,
POINT (-57.6146823 -38.0106774),Av. Fortunato de la Plaza 9687,PC 1 - EZVIZ,
POINT (-57.60060319999999 -37.9642171),Tandil & Avenida Libertad,,
POINT (-57.7470143 -37.9174512),Delegación Sierra de los Padres y La Peregrina,,
POINT (-57.5923995 -38.0029781),Avenida Juan B. Justo & Reforma Universitaria,dep municipal isla,
POINT (-57.58185470000001 -38.0144256),Pehuajó 250,dep municipal isla,
POINT (-57.53232610000001 -38.0310964),Quba, café de mar,PC 5 HIKVISION
POINT (-57.56882330000001 -38.01743639999999),Catamarca 4256,PC 2 -  DAHUA,
POINT (-57.5351872 -38.0268834),Saavedra 190,PC 9 - HIKVISION,
POINT (-57.5440696 -38.0021968),Rivadavia 2248,PC 1 DAHUA,
POINT (-57.54894789999999 -37.9910362),Av. Independencia 1055,PC 1 - DAHUA,
POINT (-57.56988709999999 -38.0001073),Garay 4187,PC 1 DAHUA,
POINT (-57.55649469999999 -37.9879093),Balcarce 3902,PC 1 DAHUA,
POINT (-57.5439152 -38.00286880000001),Entre Ríos 1864,PC 9 - HIKVISION,
POINT (-57.5807805 -38.023395),Hernandarias 6767 Y POR DOLORES,PC 9 - HIKVISION,
POINT (-57.55855619999999 -37.980329),Misiones 545,PC 9 - HILVISION,
POINT (-57.593843 -37.9949817),Champagnat 3418,PC 9 - HIKVISION,
POINT (-57.58563410000001 -38.0135015),12 de Octubre 7778,PC 2 - IVMS 4200,
POINT (-57.56985619999999 -38.0607011),Acha 3121,PC 9 - HIKVISION,
POINT (-57.5766407 -38.0529084),Alejandro Korn 2916,PC 9 - HIKVISION,
POINT (-57.59630660000001 -38.03535919999999),Dolores 2707,PC 9 - HIKVISION,
POINT (-57.5479706 -38.0629256),Av. Fortunato de la Plaza 1928,PC 5 HIKVISION,
POINT (-57.5865743 -38.0387482),Genova y Dellepiane,PC 9 - HIKVISION,
POINT (-57.5896285 -37.9449987),Los Eucaliptus 5353,PC 9 - HIKVISON,
POINT (-57.58404489999999 -37.9784912),Bahia Blanca 1525,PC 9 - HIKVISION,
POINT (-57.55697850000001 -37.9569064),Joaquina Acevedo 5731,PC 2 - IVMS 4200,
POINT (-57.5426867 -37.9605895),Esquiu 1943,PC 9 - HIKVISION,
POINT (-57.5669807 -38.0409214),Cerrito 1430,PC 9 - HIKVISION,
POINT (-57.56861749999999 -38.03476690000001),San Salvador 5195,PC 9 - HIKVISION,
POINT (-57.57194610000001 -38.0072273),Primera Junta 3908,PC 2 DAHUA,
POINT (-57.57321460000001 -38.0496554),Alejandro Korn 2465,PC 7 - EZVIZ,
POINT (-57.5779915 -37.9546228),Valencia 7356,PC 2  DAHUA,
POINT (-57.5941667 -38.002699),Peralta Ramos 85,PC 9 - HIKVISION,
POINT (-57.5722318 -38.0223849),El Cano 6334,PC 7 - EZVIZ,
POINT (-57.5429983 -38.0031897),Buenos Aires 1863 - Loc 2,PC 7 - EZVIZ,
POINT (-57.5351566 -38.0268294),Alem 3602 y 3614,PC 9 - HIKVISION,
POINT (-57.5479573 -38.0096034),Buenos Aires 2642,PC 2 - IVMS 4200,
POINT (-57.54386399999999 -38.007682),Arenales 2287,PC 9 - HIKVISION,
POINT (-57.5738476 -37.9775648),Libertad 5733,PC 9 - HIKVISION,
POINT (-57.5476936 -37.9907937),Libertad 3151,PC 9 - HIKVISION,
POINT (-57.5467807 -38.0417078),Acha 325,PC 9 - HIKVISION,
POINT (-57.6350457 -37.970684),Juan B Justo 1559,PC 7 - EZVIZ,
POINT (-57.5856326 -38.0317156),Arana y Goiri 6450,PC 1 DAHUA,
POINT (-57.6032488 -38.1141864),C. 495 874,PC 7 EZVIZ,
POINT (-57.54586740000001 -38.0037931),Corrientes 2044,PC 9 - HIKVISION,
POINT (-57.76856919999999 -37.9591007),Emilio 23,,
POINT (-57.544141 -38.0099464),Gascón & Lamadrid,PC 1 - IVMS4200,
POINT (-57.5566433 -38.0711328),Av. Mario Bravo 1865,PC 2 DAHUA,
POINT (-57.54834429999999 -38.0060782),Corrientes 2341,PC 9 - HIKVISION,
POINT (-57.5722318 -38.0223849),El Cano 6334,PC 1 - EZVIZ,
POINT (-57.5709931 -38.0182193),Independencia 4443,PC 7 - EZVIZ,
POINT (-57.664165 -38.0067157),PARQUE INDUSTRIAL,PC 2 DAHUA,
POINT (-57.549356 -38.035558),Av. Juan B. Justo 700,PC 2 - DAHUA,
POINT (-57.54785779999999 -38.0002893),Rivadavia 2602,PC 2 - SMART PSS,
POINT (-57.58259579999999 -38.0025117),Saavedra 4935,PC1 DAHUA,
POINT (-57.54933399999999 -37.9952074),La Rioja 1445,PC 2 - DAHUA,
POINT (-57.55394279999999 -37.9797248),French 4209 Y  SAN JUAN 299,PC 1 - DAHUA,
POINT (-57.5963848 -38.03110040000001),Friuli 2381,PC 9 - HIKVISION,
POINT (-57.54757349999999 -38.08322),Navarra 450,PC 9 - HIKVISION,
POINT (-57.5815715 -37.9809265),Av. Pedro Luro 6150,PC 2 DAHUA,
POINT (-57.565394 -37.9854684),Neuquén y 3 de Febrero,PC 7 - EZVIZ,
POINT (-57.5767573 -38.024135),Irala 6472,PC 7 - EZVIZ,
POINT (-57.577012 -38.0239905),JACINTO PERALTA RAMOS 714,PC 7 - EZVIZ,
POINT (-57.57678479999999 -38.02403069999999),Irala 6478,PC 7 - EZVIZ,
POINT (-57.56632800000001 -38.0169961),La Rioja 4168,PC 5 HIKVISION,
POINT (-57.5434259 -38.0086662),Lamadrid 2351,PC 2 - DAHUA,
POINT (-57.6253282 -38.0017521),Arana y Goiri 10956,PC 9 - HIKVISION,
POINT (-57.5579983 -37.98222630000001),Ayacucho 4365,PC 7 - EZVIZ,
POINT (-57.6057403 -37.9436782),Florisbelo Acosta 7741,PC 9 - HIKVISION,
POINT (-57.555023 -37.9976948),Belgrano 3264,PC 5 HIKVISION,
POINT (-57.594115 -38.0453417),Talcahuano 3279,PC 7 - EZVIZ,
POINT (-57.57060800000001 -37.9568972),Torres de Vera y Aragon,,
POINT (-57.57704 -37.9649212),TORRE DE VERA Y ARAGON 0,PC 9 - HIKVISION,
POINT (-57.55190349999999 -37.9778465),San Juan 2,PC 9 - HIKVISION,
POINT (-57.5460232 -37.9699186),Patagones 955,PC 9 - HIKVISION,
POINT (-57.5524049 -38.0009628),Bolívar 2903,PC 9 - HIKVISION,
POINT (-57.5555046 -37.9666867),Lopez de Gomara 5055,PC 9 - HIKVISION,
POINT (-57.5536578 -38.0024368),Hipolito Yrigoyen 2257,PC 8 - DAHUA,
POINT (-57.5753287 -38.0369147),Tripulantes del Fournier 5450,PC 9 - HIKVISION,
POINT (-57.5939388 -38.0020795),Av. Juan B. Justo 5758,PC 5 HIKVISION,
POINT (-57.5942891 -38.0027085),Solis 9031,PC 9 - HIKVISION,
POINT (-57.6121746 -37.9831781),San Lorenzo 8141,PC 9 - HIKVISION,
POINT (-57.5518458 -38.01169029999999),Alvarado 2240,PC 1 DAHUA,
POINT (-57.54819699999999 -38.042024),Av. Edison 432,CASA BLANCO,
POINT (-57.54206139999999 -38.0143307),Olavarría & Garay,DOMO DE NIKRO,
POINT (-57.54259260000001 -38.0101331),Las Heras 2450,PC 7 - EZVIZ,
POINT (-57.557589 -38.0308137),Solis 4850,PC 2 DAHUA,
POINT (-57.57925299999999 -37.9762466),Avenida M. Champagnat & Balcarce,OPEN SPORT ,
POINT (-57.57275509999999 -38.0032687),San Juan & San Lorenzo,PC 2 - DAHUA,
POINT (-57.5559287 -38.04368540000001),Padre Dutto 1003,PC 7 - EZVIZ,
POINT (-57.6119175 -37.9833193),San Lorenzo 8109,PC 9 - HIKVISION,
POINT (-57.55933950000001 -37.9954235),Belgrano y 14 de Julio,PC 7 - EZVIZ,
POINT (-57.53153709999999 -38.0265463),Mr Jones,PC 9 - HIKVISION,
POINT (-57.6287888 -38.0131758),Flores 3702,PC 9 - HIKVISION,
POINT (-57.5589466 -38.0042805),Club 26,Independencia y Rawson,
POINT (-57.54808860000001 -38.003418),Bolívar 2450,PC 9 - HIKVISION,
POINT (-57.55543950000001 -38.0787058),Darragueira 3585,PC 9 - HIKVISION,
POINT (-57.6093606 -38.109937),Calle 495 & Calle 24,,
POINT (-57.5647528 -38.00918529999999),Anexo Facultad de ciencias de la Salud y trabajo social. UNMDP,,
POINT (-57.5713091 -38.005743),Universidad Nacional de Mar del Plata,,
POINT (-57.5715223 -38.00575399999999),complejo universitario,,
POINT (-57.5371696 -38.0288531),Alem 3863,PC 9 - HIKVISION,
POINT (-57.55210400000001 -37.9833439),Guido 516,PC 9 - HIKVISION,
POINT (-57.59039439999999 -38.0173163),Guanahani 7751,PC 5 HIKVISION,
POINT (-57.56944589999999 -38.0930695),Atahualpa 4861,PC 7 - EZVIZ,
POINT (-57.5479241 -37.9995492),San Luis 1750,PC 7 - EZVIZ,
POINT (-57.5586691 -37.9942534),14 de Julio 1775,PC 4 DAHUA,
POINT (-57.5954982 -37.9822285),Estado de Israel 2345,PC 4 DAHUA,
POINT (-57.59542990000001 -37.957491),Tandil 157,PC 9 - HIKVISION,
POINT (-57.59207199999998 -37.97561399999999),Av. Pedro Luro 7146,PC 1,
POINT (-57.59267999999999 -37.9763954),San Martín 7146,,
POINT (-57.5769201 -38.0336402),Mateotti 1456,PC 9 - HIKVISION,
POINT (-57.5720202 -38.0058839),Deán Funes & Rodríguez Peña,,
