Real;Evento;año;mes;Tipo de Evento;Origen;N.º Cámara;Cámaras;Direccion 0;Direccion;Resultado;CIUDAD;PROVINCIA;PAIS;ENLACE;Longitud y Latitud;estado_coordenada
21;1;2023;1;Robo/Hurto Automotor;CATE 911;79;CON;Jacinto Peralta Ramos;Carasa;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y Carasa ;-57.5876566,-38.032577;PENDIENTE_GEOCODIFICAR
42;1;2023;1;Robo/Hurto Automotor;CATE 911;602;CON;Ratery;Solis;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ratery y Solis ;-57.5816004,-38.012543;PENDIENTE_GEOCODIFICAR
128;1;2023;1;Robo/Hurto Automotor;CATE 911;273;CON;Mario Bravo;Medrano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Mario Bravo y Medrano ;-57.5496172,-38.077284;PENDIENTE_GEOCODIFICAR
130;1;2023;1;Robo/Hurto Automotor;CATE 911;296;CON;Jacinto Peralta Ramos;Calabria;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y Calabria ;-57.592699,-38.0367139;corregido_automatico
274;1;2023;1;Robo/Hurto Automotor;CATE 911;586;CON;Belgrano;Mariano Acosta;Detencion;Mar del Plata;Buenos Aires;Argentina;Belgrano y Mariano Acosta ;-57.5854163,-37.9822201;corregido_automatico
281;1;2023;1;Robo/Hurto Automotor;CATE 911;700;CON;Avenida Colon;Salta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Colon y Salta ;-57.5573082,-37.9998646;corregido_automatico
289;1;2023;1;Robo/Hurto Automotor;ORIGEN DIFERIDO;297;CON;Benito Lynch;Del Riego;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Benito Lynch y Del Riego ;-57.5897238,-38.045428;PENDIENTE_GEOCODIFICAR
293;1;2023;1;Robo/Hurto Automotor;CATE 911;297;CON;Benito Lynch;Matteotti;Persecucion Y Detencion;Mar del Plata;Buenos Aires;Argentina;Benito Lynch y Matteotti ;-57.59062451534496,-38.044807023180404;corregido_manual
310;1;2023;1;Robo/Hurto Automotor;ORIGEN DIFERIDO;559;CON;Formosa;Hipolito Yrigoyen;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Formosa y Hipolito Yrigoyen ;-57.5640717,-38.0154876;corregido_automatico
456;1;2023;1;Robo/Hurto Automotor;CATE 911;30;CON;Aragon;Jose Ingenieros;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Aragon y Jose Ingenieros ;-57.5533164,-37.9633239;corregido_automatico
